What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot c,1983,"1adlt,0kids",1st person,65520,65520,Neither,Neither,Neither,Agree,Agree,I don’t have a steady partner.,Not applicable,$130000 to $149999,$130000 to $149999,None or almost none of the time,Most of the time,None or almost none of the time,3,0,10,0,Yes,Yes,Slightly false,Slightly true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,$25000 or more,$25000 or more,No,Average,Mother & father,Never married,Not applicable,555,Not applicable,Good,More or less,4,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,A great deal,Can trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1968,"2adlts,mar,0kids",1st person,31590,31590,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$60000 to 74999,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Few times a week,Not applicable,Not too happy,Pretty happy,Not very strong,Not str republican,Pacific,$25000 or more,$25000 or more,Yes,Average,Other,Married,Not applicable,556,Not applicable,Fair,More or less,5,Very satisfied,Not too likely,Sev times a week,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1969,"1adlt,0kids",1st person,0,56160,No issp,No issp,No issp,No issp,Not applicable,"I have a husband or wife or steady partner, but we don’t live in the same household.",Not applicable,$110000 to $129999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Not applicable,Pretty happy,Not very strong,"Ind,near rep",Pacific,Not applicable,$25000 or more,Yes,Far below average,Mother,Separated,Not applicable,557,Not applicable,Good,More or less,Top,No answer,Not likely,Sev times a mnth,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1944,"1adlt,0kids",1st person,0,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Everyday,Not applicable,Not applicable,Not too happy,Not very strong,"Ind,near dem",Pacific,Not applicable,$25000 or more,Yes,Average,Mother & father,Widowed,Not applicable,558,Not applicable,Good,Not at all sat,5,Not applicable,Not applicable,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1956,"2adlts,mar,0kids",1st person,31590,65520,Strongly agree,Disagree,Disagree,Agree,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$130000 to $149999,$60000 to 74999,Some of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Mostly true,Definitely true,Strongly agree,Strongly agree,Not applicable,Not applicable,Somewhat worse,Pretty happy,Pretty happy,No religion,Not str democrat,Pacific,$25000 or more,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,559,Not applicable,Excellent,Satisfied,4,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1927,"1adlt,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Cant choose,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat false,Mostly true,Agree,Agree,6,Never,Somewhat better,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,Not applicable,Don't know,Yes,Don't know,Mother & father,Widowed,Not applicable,560,Not applicable,Not applicable,Satisfied,5,Not applicable,Not applicable,Never,Sev times a week,Only some,A great deal,Only some,Hardly any,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1971,"3adlts,2mar,sp,rel,1+kids",2nd person,0,3510,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$7 000 to 7 999,Not applicable,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly true,Definitely true,Strongly disagree,Strongly disagree,Not applicable,Not applicable,Much better,Very happy,Pretty happy,Strong,Not str republican,Pacific,Not applicable,$7000 to 7999,No,Far below average,Mother & father,Married,Not applicable,561,Not applicable,Good,Satisfied,6,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,A great deal,Can trust,Exciting,2016
Not applicable,Ballot c,1946,"1adlt,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Disagree,I don’t have a steady partner.,Not applicable,Refused,Not applicable,Most of the time,None or almost none of the time,Some of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly false,Mostly false,Agree,Disagree,Not applicable,Not applicable,Somewhat better,Not applicable,Not too happy,Not very strong,Strong democrat,Pacific,Not applicable,Refused,Yes,Below average,Mother & father,Widowed,Not applicable,562,Not applicable,Fair,Satisfied,3,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,A great deal,Only some,Only some,Can trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1937,"2adlts,mar,0kids",2nd person,0,0,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,Refused,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Everyday,Not applicable,Very happy,Very happy,Not very strong,Not str democrat,Pacific,Not applicable,Refused,Yes,Average,Mother & father,Married,Not applicable,563,Not applicable,Excellent,Satisfied,5,Not applicable,Not applicable,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1979,"2adlts,ntmar,rel,1+kids",1st person,17550,17550,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,I don’t have a steady partner.,Not applicable,$35000 to 39999,$35000 to 39999,No answer,No answer,No answer,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Much better,Not applicable,Not too happy,Strong,"Ind,near dem",W. sou. central,$25000 or more,$25000 or more,Yes,Above average,Mother,Never married,Not applicable,564,Not applicable,Good,Not at all sat,4,A little dissat,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Hardly any,Only some,Hardly any,Cannot trust,Routine,2016
Not applicable,Ballot c,1977,"2adlts,mar,0kids",2nd person,0,31590,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$60000 to 74999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,2,0,2,0,No,Yes,Mostly true,Mostly true,Strongly agree,Strongly agree,Not applicable,Not applicable,Somewhat worse,Pretty happy,Very happy,Somewhat strong,Strong republican,W. sou. central,Not applicable,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,565,Not applicable,Excellent,More or less,3,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,Only some,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1959,"3adlts,2mar,sp,rel,0kids",2nd person,0,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Once a week,Not applicable,Not too happy,Pretty happy,Somewhat strong,Not str democrat,W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,566,Not applicable,Fair,Not at all sat,5,Not applicable,Not applicable,Once a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1961,"2as,ntmar,ntrel,smsex,0ks",1st person,15210,31590,Neither,Neither,Disagree,Agree,Agree,"I have a steady partner, and we live in the same household.",Not applicable,$60000 to 74999,$30000 to 34999,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Somewhat true,Strongly agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Very happy,Strong,Not str democrat,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Separated,Not applicable,567,Pretty happy,Excellent,More or less,2,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,A great deal,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1988,No answer,1st person,9945,25740,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Few times a week,Not applicable,Not applicable,Very happy,No religion,Independent,W. sou. central,$20000 - 24999,$25000 or more,Yes,Above average,Father,Divorced,Not applicable,568,Very happy,Good,Not at all sat,6,No answer,Not likely,Once a month,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot b,1958,"1adlt,0kids",1st person,31590,31590,Strongly agree,Disagree,Neither,Agree,Agree,I don’t have a steady partner.,Not applicable,$60000 to 74999,$60000 to 74999,Not applicable,Not applicable,Not applicable,0,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Less than once wk,Much better,Not applicable,Pretty happy,No religion,Strong republican,W. sou. central,$25000 or more,$25000 or more,Yes,Average,M and f relatives,Divorced,Not applicable,569,Not applicable,Not applicable,Satisfied,3,Mod. satisfied,Not too likely,Once a month,Once a month,Only some,A great deal,A great deal,Only some,A great deal,Can trust,Not applicable,2016
Not applicable,Ballot c,1952,"3adlts,2mar,sp,rel,0kids",2nd person,5265,21060,Disagree,Disagree,Disagree,Agree,Disagree,Not applicable,Not applicable,$40000 to 49999,$10000 to 12499,None or almost none of the time,Most of the time,None or almost none of the time,1,0,1,0,No,Yes,Slightly false,Slightly true,Agree,Agree,Not applicable,Not applicable,About the same,Pretty happy,Pretty happy,Not very strong,Independent,W. sou. central,$10000 - 14999,$25000 or more,Yes,Average,Other,Married,Not applicable,570,Not applicable,Fair,Not at all sat,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Only some,Cannot trust,Routine,2016
Not applicable,Ballot b,1984,No answer,11th person,7605,21060,Neither,Disagree,Disagree,Agree,Disagree,I don’t have a steady partner.,Not applicable,$40000 to 49999,$15000 to 17499,Not applicable,Not applicable,Not applicable,1,0,2,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,5,Never,Somewhat better,Not applicable,Not too happy,Not very strong,Independent,W. sou. central,$15000 - 19999,$25000 or more,Yes,Below average,Mother & father,Divorced,Not applicable,571,Not applicable,Not applicable,Not at all sat,6,A little dissat,Not too likely,Sev times a week,Sev times a week,Hardly any,Only some,Only some,Only some,Hardly any,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1953,"3adlts,2mar,sp,rel,0kids",1st person,12870,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$90000 to $109999,$25000 to 29999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Never,Not applicable,Very happy,Very happy,Not very strong,Strong republican,W. sou. central,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,572,Not applicable,Good,More or less,5,Not applicable,Not applicable,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1969,"3adlts,0mar,rel,0kids",1st person,25740,38610,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Bachelor's,$75000 to $89999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Less than once wk,Not applicable,Not applicable,Pretty happy,Somewhat strong,Strong democrat,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,573,Not applicable,Good,Satisfied,4,No answer,Not likely,Once a month,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,2016
